character_id,raw_character_text
1241.0,Homer's Inner Child
1242.0,Moe's Inner Child
1243.0,Women In Crowd
1244.0,Old Folks
1245.0,MR. KRABAPPEL
1246.0,James Brown
1247.0,Carpenter
1248.0,Dorky Teenager
1249.0,MCGARNIGAL
1250.0,Atari Andre Gregory
1251.0,Manuel Noriega
1252.0,Arcade Manager
1253.0,Wise Old Hobo
1254.0,Triple Milhouse
1255.0,Dorky Kid
1256.0,Pudgy Boy
1257.0,Fathers
1258.0,Ernest Borgnine
1260.0,Accountant
1261.0,Arab Men
1262.0,Agent #1
1263.0,Zutroy
1264.0,Agent #2
1265.0,Optometrist
1266.0,Dermatologist
1267.0,Podiatrist
1268.0,Internist
1269.0,Jerry Lewis Bart
